heat_source_T,15,20,25,30,35,40,45,50,55,60
-20,5.27,5.72,6.26,6.92,8.6,8.9,10.45,,,
-15,5.78,6.23,6.76,7.4,8.65,9.2,10.53,,,
-12,6.06,6.51,7.04,7.66,8.7,9.37,10.6,,,
-10,6.21,6.67,7.19,7.8,8.75,9.46,10.63,12.17,,
-7,6.42,6.88,7.4,8,8.75,9.58,10.67,12.07,12.9,
-2,6.55,7.04,7.55,8.13,8.75,9.57,10.53,11.72,12.8,15.34
2,6.57,7.11,7.64,8.2,8.7,9.56,10.44,11.51,12.8,14.6
7,6.55,7.31,7.91,8.5,8.55,9.83,10.65,11.63,12.8,14.32
10,6.66,7.89,8.65,9.33,9.35,10.77,11.62,12.63,13.4,15.34
12,5.91,7.84,8.75,9.48,9.4,10.94,11.79,12.77,13.5,15.38
15,,7.21,8.55,9.38,9.4,10.86,11.68,12.61,13.5,15.03
20,,,7.54,8.94,9.4,10.59,11.37,12.23,13.5,14.36
25,,,,7.9,9.4,10.28,11.09,11.92,13.6,13.85
30,,,,,9.4,9.79,10.75,11.6,13.7,13.42
35,,,,,,8.6,10.2,11.21,13.75,13
