temperature,COP
-10,3.32782547621611
-9,3.3923108421186736
-8,3.459307499126243
-7,3.528960209119523
-6,3.601425097051612
-5,3.6768707875603606
-4,3.7554796807581
-3,3.8374493875088986
-2,3.9229943479678755
-1,4.012347661239522
0,4.105763159009781
1,4.203517761981102
2,4.3059141651484065
3,4.4132839066556055
4,4.525990885865992
5,4.6444354091205255
6,4.769058857958794
7,4.900349094492504
8,5.038846743348191
9,5.185152520653285
10,5.339935819469113
11,5.5039448103652076
12,5.678018378394712
13,5.863100299527224
14,6.060256156465612
15,6.270693646320672
16,6.495787081004186
17,6.737107142722971
18,6.996457250797864
19,7.27591832098127
20,7.577904267140734
